feature,importance
image_emb_423,2436.6201723515987
text_emb_166,2435.312170982361
image_emb_369,2434.413606762886
image_emb_510,2433.5581721663475
image_emb_9,2432.2605202794075
image_emb_123,2416.074960231781
text_emb_238,2414.8621176481247
text_emb_289,2412.449106693268
text_emb_315,2412.3804060816765
image_emb_207,2411.672300338745
text_emb_146,2409.172407925129
text_emb_93,2407.18499314785
text_emb_209,2395.491213977337
image_emb_367,2392.6798462867737
text_emb_250,2389.173756301403
image_emb_305,2387.911304116249
image_emb_214,2385.667054116726
image_emb_142,2385.399455845356
image_emb_71,2384.5237920880318
image_emb_397,2383.746622800827
image_emb_271,2381.2781080007553
image_emb_327,2376.0043734908104
text_emb_325,2369.2874561548233
image_emb_287,2364.8770819306374
image_emb_224,2364.7739344239235
image_emb_46,2363.9849275946617
text_emb_281,2362.9749732613564
image_emb_348,2362.0590677261353
image_emb_120,2352.3836029171944
text_emb_191,2351.829671859741
image_emb_161,2351.428514957428
image_emb_490,2347.327283024788
text_emb_243,2346.9033049345016
image_emb_266,2345.712518274784
image_emb_133,2339.2501890659332
text_emb_298,2339.1092427372932
text_emb_350,2338.9800993204117
text_emb_271,2332.9429807066917
image_emb_252,2326.111843198538
text_emb_18,2325.432795703411
image_emb_318,2321.882547855377
text_emb_125,2321.240094065666
image_emb_99,2317.2125287652016
image_emb_109,2317.02210021019
text_emb_61,2315.620646059513
text_emb_16,2313.4196058511734
text_emb_349,2313.059016108513
text_emb_314,2307.0145692825317
text_emb_67,2304.1537868380547
text_emb_19,2303.7942999601364
image_emb_91,2300.7057762145996
text_emb_356,2299.944378554821
text_emb_87,2295.5182990431786
image_emb_497,2294.7429755330086
image_emb_364,2290.3081884384155
image_emb_20,2287.261937558651
image_emb_380,2281.7819513082504
image_emb_173,2281.6264058947563
image_emb_54,2277.9575945734978
text_emb_148,2277.285822093487
text_emb_308,2275.769870877266
text_emb_73,2270.9805003404617
image_emb_370,2268.131874859333
text_emb_331,2267.712531864643
image_emb_399,2266.193448483944
image_emb_481,2260.8832234740257
text_emb_180,2251.362661719322
image_emb_216,2248.9064558148384
text_emb_141,2247.817025542259
text_emb_266,2245.5093843340874
text_emb_112,2243.2390275597572
image_emb_199,2240.293865442276
text_emb_217,2236.675902545452
image_emb_293,2234.8410710692406
text_emb_199,2227.442594408989
image_emb_196,2223.1040630340576
text_emb_104,2215.234328687191
image_emb_320,2215.0038248300552
image_emb_79,2212.2837733626366
text_emb_74,2211.8294144272804
text_emb_28,2207.993849635124
image_emb_148,2205.453514635563
text_emb_338,2203.6992391347885
text_emb_32,2203.6728780269623
text_emb_156,2203.1789784431458
text_emb_96,2202.996733903885
image_emb_238,2194.3000323176384
text_emb_367,2190.5587289333344
image_emb_420,2185.3542796969414
image_emb_376,2181.8019620776176
image_emb_131,2180.925212562084
text_emb_253,2179.3411878347397
text_emb_284,2177.643977701664
image_emb_262,2176.3235449790955
image_emb_328,2176.25217795372
image_emb_426,2175.8724325299263
image_emb_53,2174.827876150608
text_emb_91,2174.3065814971924
text_emb_311,2170.04241836071
text_emb_210,2165.9555275440216
image_emb_87,2164.6337535977364
text_emb_374,2162.6670051813126
image_emb_278,2161.78225004673
image_emb_236,2159.9189219474792
image_emb_479,2156.581904530525
image_emb_229,2150.778571486473
text_emb_194,2148.762995123863
image_emb_334,2147.4925729632378
image_emb_237,2144.3092195391655
text_emb_111,2143.726493179798
image_emb_314,2143.371573805809
text_emb_228,2141.283144235611
text_emb_310,2139.361242055893
text_emb_320,2135.4764655828476
text_emb_280,2130.6667751669884
image_emb_119,2130.4402366280556
text_emb_179,2127.045560479164
image_emb_64,2127.037152349949
image_emb_205,2125.961162686348
text_emb_201,2119.1878803372383
text_emb_309,2117.6124115884304
image_emb_377,2117.185574889183
text_emb_49,2116.1742212176323
has_ipq,2110.046728014946
text_emb_227,2108.0413612127304
image_emb_88,2107.25626295805
text_emb_332,2104.37425583601
image_emb_383,2101.986148118973
image_emb_202,2101.205271244049
image_emb_100,2099.6632553339005
